部門	國碼	店內碼	品名
A12	4711160000743 		保力達蠻牛維他命B飲料160ml
A12	4710088410610 		統一科學麵(原味)5入
A02	4710117601637 		舒絲仕女輕便刀2+1入
A12	4710088413611 		統一阿Q桶麵(生猛海鮮)98g
A08	4710412907007 		愛爽-5入少女型三角棉褲
A09	4901616005266 		三詩達藥用鹽牙膏-微粒晶鹽170g
A16	4902806583212 		GATSBY柔軟護髮慕絲185g
A09	4710314432157 		雷達快速蟑螂螞蟻藥550ml-清新
A12	4710043355215 		高鐵高鈣脫脂奶粉750g
A12	8850425001258 		雙盟CRECO酥棒(巧克力)100g
A02	4711914933907 		吸油面紙(小)3入F04-1
A16	4710168302064 		棕欖香皂115g(蘆薈保濕)
A16	4710168302040 		棕欖香皂115g(牛乳嫩膚)
A12	4710085120161 		金車奧利多水寡醣飲料585ml
A16	4710032604799 		嬌生PH5.5沐浴乳1000ml
A16	4710032604782 		嬌生PH5.5沐浴乳(2合1)1000ml
A12	8801062161881 		LOTTE樂天巧克力派6入
A12	4710762101032 		味島香鬆罐52g-海苔
A12	4710762101025 		味島香鬆罐52g-鰹節
A01	3600010001577 		萊雅溫和眼唇卸妝液 125ml
A12	4710421090059 		舒跑運動飲料590ml
A12	7610700600863 		利口樂草本喉糖罐100g
A12	4710015202035 		乖乖孔雀餅乾75g-原味
A12	4710015202523 		乖乖孔雀餅乾135g-原味
A12	4710176011040 		華元真魷味50g-紅燒
A12	4710176012047 		華元鹹蔬餅50g
A12	4710176011194 		華元真魷味50g-香辣
A12	4710304130117 		喜年來金牛角美國玉米點心35g-原味
A16	4710210200546 		禪之喜悅沐浴乳2000ml
A09	4710367401964 		3M自黏彈性繃帶2吋
A01	319810073419 		BAN清新體香膏2.6oz爽身粉香
A01	19045073313 		BAN清新體香膏2.6oz無味
A01	319810073211 		BAN清新體香膏2.6oz清新氣爽
A16	4710596474524 		綠的潔膚劑1000ml
A15	4710466206231 		妙潔超薄型手套(3雙入)
A12	4710088410139 		統一麵特大號肉燥麵425g(5入)
A12	4710088410207 		統一麵鮮蝦415g(5入)
A12	4710088410382 		統一麵蔥燒牛肉麵450g(5入)
A12	4902775018715 		優雅食點心條餅FUN大包100g-雞汁
A12	4712466000932 		優雅食特等模範生五連點心餅(雞汁)20g*5包
A16	4711109908222 		舒妃時空膠囊25粒
A09	4710049003516 		康乃馨寶寶超厚潔膚濕巾補充包80片
A12	4712245010039 		大同超級全家餐麥香雞塊40g
A12	4712245006032 		大同玉米酥40g-濃醇巧克力
A01	4005808820221 		艾翠斯修護護手霜100ml
A01	4005808850617 		妮維雅水漾護唇膏4.8g
A01	4005808850631 		妮維雅潤澤修護唇膏4.8g
A12	4710199010372 		維力炸醬桶麵90g
A12	4710199019146 		維力炸醬麵5入450g
A09	4716819012108 		不織布紗布墊2*2 10片
A12	4710144204856 		浪味仙32g-田園蔬菜
A12	4710174056159 		盛香珍蒟蒻果凍400g-荔枝
A09	4714553760064 		隱形眼鏡專用夾&托棒
A12	4710176013143 		華元玉黍叔50g-漢堡
A12	4710176013235 		華元玉黍叔50g-甜辣
A12	4710176016045 		華元野菜園45g
A12	4710176121145 		華元波的多洋芋片34g-蚵仔煎
A12	22000035011 		Airwaves超涼無糖口香糖28g-薄荷
A12	4710247001765 		可口美酥150g-原味
A12	5000396004366 		麥維他及時樂燕麥餅255g
A09	4710747710020 		數位衛生套(潤滑)12入
A09	4710747710044 		數位衛生套(超薄)12入
A09	4710747710082 		數位衛生套12入-顆粒
A09	4710747710105 		數位衛生套(混合)12入
A01	4103040112736 		施巴潤膚乳液200ml
A15	4715922481054 		S48105 咕咕雞收納盒-小 20280105
A12	4902757160906 		12)冬之戀巧克力袋裝174g-原味
A12	4712019100607 		YU-KI夾心餅150g-花生
A12	4712019100591 		YU-KI夾心餅150g-起司
A12	4710199011874 		維力一度贊碗麵200g-爌肉
A12	4710199013298 		維力一度贊碗麵200g-紅燒牛肉
A15	4710731070604 		驅塵氏抗菌濕拖巾12張-檸檬
A09	4710054143481 		蘇菲彈力貼身超薄潔翼16片3入量少17.5cm
A09	4710049003264 		康乃馨透氣超薄護墊40片2入無香15cm
A09	4710049003271 		康乃馨透氣超薄護墊40片2入微香15cm
